# Portuguese sentence-boundary abbreviations (D-434, §6) - a period after one of these does not by itself
# mark a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period
# included, one per line, matching Abbreviations.parse()'s own format.
sr.
sra.
srta.
dr.
dra.
prof.
profa.
av.
r.
pág.
p.
pp.
cap.
art.
vol.
tel.
ref.
depto.
dept.
cia.
ltda.
etc.
ex.
apto.
km.
seg.
min.
máx.
mín.
a.c.
d.c.
