# Italian diacritic-fold table (D-436) - base letter -> every real accented variant, so a token typed
# without its accent ("perche") still reaches the correctly-spelled word ("perché"), both live while typing
# and at autocorrect/split-repair time. hints.tsv (same folder) picks one representative symbol per key for
# the AltGr long-press hint; this file keeps the complete set per base letter.
a	à
e	è,é
i	ì
o	ò,ó
u	ù
