# Italian sentence-boundary abbreviations (D-434, §6) - a period after one of these does not by itself
# mark a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period
# included, one per line, matching Abbreviations.parse()'s own format.
sig.
dott.
prof.
avv.
on.
ecc.
art.
cap.
vol.
pag.
p.
n.
tel.
fig.
cfr.
es.
ing.
geom.
rag.
dr.
a.c.
d.c.
c.a.
ca.
seg.
min.
max.
