word	pos_values
aandachtsspanne	noun
aandachtsstoornis	noun
aandachtsstreep	noun
aandachtsteken	noun
aandachtstekort	noun
aandachtstekortstoornis	noun
aandachtsterrein	noun
aandachtstreep	noun
aandachtstrekker	noun
aandachtstrekkerij	noun
aandachtsveld	noun
aandachtsverlies	noun
aandachtsvestiging	noun
aandachtswijk	noun
aandachttekort	noun
aandachttrekkend	adj
aandachttrekker	noun
aandachttrekkerij	noun
aandachtvestiging	noun
aandachtzoeker	noun
aandak	noun
aandammen	verb
aandamming	noun
aandampen	verb
aandansen	verb
aandeel	noun
aandeelbewijs	noun
aandeelhebber	noun
aandeelhoudend	adj
aandeelhouder	noun
aandeelhouder-geldschieter	noun
aandeelhoudersactivisme	noun
aandeelhoudersbelang	noun
aandeelhoudersbewijs	noun
aandeelhouderschap	noun
aandeelhouderscommissie	noun
aandeelhoudersdividend	noun
aandeelhouderskapitalisme	noun
aandeelhouderskring	noun
aandeelhoudersovereenkomst	noun
aandeelhoudersregister	noun
aandeelhoudersstructuur	noun
aandeelhoudersvergadering	noun
aandeelhouderswaarde	noun
aandeelhoudster	noun
aandeelkoers	noun
aandeelprijs	noun
aandelenadvies	noun
aandelenanalist	noun
aandelenbelang	noun
aandelenbelegger	noun
aandelenbelegging	noun
aandelenbeurs	noun
aandelenbezit	noun
aandelenbezitter	noun
aandelencarrousel	noun
aandelencombinatie	noun
aandelenemissie	noun
aandelenfonds	noun
aandelenfreak	noun
aandelenhandel	noun
aandelenhandelaar	noun
aandelenhypotheek	noun
aandelenindex	noun
aandeleninkoop	noun
aandeleninkoopprogramma	noun
aandelenkantoor	noun
aandelenkapitaal	noun
aandelenkoers	noun
aandelenkoersindex	noun
aandelenkoop	noun
aandelenkorf	noun
aandelenlease	noun
aandelenleaseproduct	noun
aandelenlijst	noun
aandelenmakelaar	noun
aandelenmarkt	noun
aandelenomzet	noun
aandelenoptie	noun
aandelenoptieplan	noun
aandelenoptieregeling	noun
aandelenoverdracht	noun
aandelenpakket	noun
aandelenparticipatie	noun
aandelenplan	noun
aandelenportefeuille	noun
aandelenpositie	noun
aandelenprijs	noun
aandelenprogramma	noun
aandelenregister	noun
aandelenrekening	noun
aandelenruil	noun
aandelenselectie	noun
aandelensfeer	noun
aandelenspeculant	noun
aandelenspel	noun
aandelensplitsing	noun
aandelensysteem	noun
aandelentranche	noun
aandelentransactie	noun
aandelenuitgifte	noun
aandelenverhouding	noun
aandelenverkoop	noun
aandelenzwendel	noun
aandenderen	verb
aandenken	noun
aandewinds	adj
aandienen	verb
aandijken	verb
aandijking	noun
aandikken	verb
aandoen	verb
aandoening	noun
aandoenlijk	adj
aandoenlijkheid	noun
aandraagbonus	noun
aandraagster	noun
aandraaien	verb
aandragen	verb
aandrager	noun
aandrang	noun
aandrangincontinentie	noun
aandraven	verb
aandrentelen	verb
aandrift	noun
aandrijfas	noun
aandrijfketting	noun
aandrijfkracht	noun
aandrijflijn	noun
aandrijfmechanisme	noun
aandrijfmotor	noun
aandrijfriem	noun
aandrijfsysteem	noun
aandrijfwiel	noun
aandrijven	verb
aandrijver	noun
aandrijving	noun
aandringen	verb
aandringer	noun
aandrukken	verb
aandrukkracht	noun
aandrukrol	noun
aanduiden	verb
aanduiding	noun
aandurven	verb
aanduwen	verb
aandweilen	verb
aaneen	adv
aaneenbinden	verb
aaneenbinding	noun
aaneenblijven	verb
aaneenbrengen	verb
aaneenflansen	verb
aaneengeschakeld	adj
aaneengesloten	adj,adv
aaneengrenzen	verb
aaneengroeien	verb
aaneengroeiing	noun
aaneenhaken	verb
aaneenhangen	verb
aaneenhechten	verb
aaneenhechting	noun
aaneenhouden	verb
aaneenketenen	verb
aaneenkleven	verb
aaneenklinken	verb
aaneenkluisteren	verb
aaneenknopen	verb
aaneenkoeken	verb
aaneenkoppelen	verb
aaneenkoppeling	noun
aaneenlijmen	verb
aaneennaaien	verb
aaneenpassen	verb
aaneenplaatsen	verb
aaneenplakken	verb
aaneenpraten	verb
aaneenrijgen	verb
aaneenrijging	noun
aaneenschakelen	verb
aaneenschakeling	noun
aaneenschrijven	verb
aaneensluiten	verb
aaneensluiting	noun
aaneensmeden	verb
aaneensmijten	verb
aaneensnoeren	verb
aaneenspijkeren	verb
aaneenvoegen	verb
aaneenvoeging	noun
aaneenzetten	verb
aaneenzitten	verb
aanerven	verb
aanfietsen	verb
aanflitsen	verb
aanfloepen	verb
aanfluiten	verb
aanfluiting	noun
aanfok	noun
aanfokken	verb
aanfokking	noun
aanfruiten	verb
aangaan	verb
aangaande	prep
aangalopperen	verb
aangapen	verb
aangebedene	noun
aangebodene	noun
aangeboren	adj
aangebracht	adj
aangebrand	adj
aangedaan	adj
aangedampt	adj
aangedane	noun
aangeduid	adj
aangeefster	noun
aangegaan	adj
aangehaald	adj
aangehard	adj
aangeharkt	adj
aangehoudene	noun
aangehuwd	adj
aangekapt	adj
aangeklaagde	noun
aangekleed	adj
aangeklemd	adj
aangeklost	adj
aangeknipt	adj
aangekoekt	adj
aangekondigd	adj
aangekondigde	noun
aangekorst	adj
aangeland	adj
aangelande	noun
aangeleerd	adj
aangelegd	adj
aangelegen	adj
aangelegenheid	noun
aangemeld	adj
aangenaam	adj
aangenaamheid	noun
aangenageld	adj
aangenomen	adj,conj
aangepast	adj
aangepastheid	noun
aangericht	adj
aangeschaft	adj
aangeschoten	adj
aangeschreven	adj
aangeschrevene	noun
aangeslagen	adj
aangeslotene	noun
aangespen	verb
aangesprokene	noun
aangesteld	adj
aangestikt	adj
aangestipt	adj
aangestoken	adj
aangestrand	adj
aangestrikt	adj
aangetast	adj
aangetekend	adj
aangetogen	adj
aangetoond	adj
aangetrouwd	adj
aangevallene	noun
aangeven	verb
aangever	noun
aangewakkerd	adj
aangewend	adj
aangewezen	adj
aangewezene	noun
aangezet	adj
aangezicht	noun
aangezichtsligging	noun
aangezichtspijn	noun
aangezichtsverlamming	noun
aangezichtszenuw	noun
aangezien	conj
aangezoet	adj
aangeërfde	noun
aangieren	verb
aangieten	verb
aangifte	noun
aangiftebehandeling	noun
aangiftebereidheid	noun
aangiftebiljet	noun
aangiftediskette	noun
aangifteformulier	noun
aangiftehulp	noun
aangiftepartner	noun
aangifteplicht	noun
aangifteplichtig	adj
aangiftetijd	noun
aangifteverplichting	noun
aangifteverwerking	noun
aangiftevolgnummer	noun
aangiftevolgservice	noun
aangloeien	verb
aangluren	verb
aangolven	verb
aangooien	verb
aangorden	verb
aangrenzen	verb
aangrenzend	adj
aangrijnzen	verb
aangrijpelijk	adj
aangrijpen	verb
aangrijpend	adj
aangrijping	noun
aangrijpingspunt	noun
aangrimmen	verb
aangroei	noun
aangroeien	verb
aangroeiing	noun
aangroeipremie	noun
aangroeisel	noun
aangroeiwerend	adj
aanhaken	verb
aanhaker	noun
aanhalen	verb
aanhalerig	adj
aanhalig	adj
aanhaligheid	noun
aanhaling	noun
aanhalingsteken	noun
aanhang	noun
aanhangen	verb
aanhanger	noun
aanhangfiets	noun
aanhangig	adj
aanhangigmaking	noun
aanhangmotor	noun
aanhangsel	noun
aanhangster	noun
aanhangwagen	noun
aanhankelijk	adj
aanhankelijkheid	noun
aanhankelijkheidsbetuiging	noun
aanharken	verb
aanhebben	verb
aanhebt	verb
aanhechten	verb
aanhechting	noun
aanhechtingspunt	noun
aanhechtsel	noun
aanheeft	verb
aanhef	noun
aanheffen	verb
aanhelen	verb
aanhijgen	verb
aanhikken	verb
aanhinken	verb
aanhitsen	verb
aanhitser	noun
aanhitsing	noun
aanhobbelen	verb
aanhoesten	verb
aanhollen	verb
aanhoorder	noun
aanhoren	verb
aanhorig	adj
aanhorigheid	noun
aanhoudelijk	adj
aanhouden	verb
aanhoudend	adj,adv
aanhoudendheid	noun
aanhouder	noun
aanhouding	noun
aanhoudingsbevel	noun
aanhoudingseenheid	noun
aanhoudingsmandaat	noun
aanhoudster	noun
aanhuislevering	noun
aanhuppelen	verb
aanhuppen	verb
aanhuwen	verb
aanhuwing	noun
aanjaagfunctie	noun
aanjaagteam	noun
aanjagen	verb
aanjager	noun
aankaarten	verb
aankakken	verb
aankalken	verb
aankappen	verb
aankeffen	verb
aankeiler	noun
aankijken	verb
aanklaagster	noun
aanklacht	noun
aanklagen	verb
aanklager	noun
aanklampen	verb
aanklamping	noun
aankleden	verb
aankleding	noun
aankleedkussen	noun
aanklemmen	verb
aankleuren	verb
aankleuteren	verb
aankleven	verb
aankleving	noun
aanklikbaar	adj
aanklikken	verb
aanklikwoning	noun
aanklinken	verb
aankloppen	verb
aanklotsen	verb
aanknippen	verb
aanknoeien	verb
aanknooppunt	noun
aanknop	noun
aanknopen	verb
aanknoping	noun
aanknopingspunt	noun
aankoeken	verb
aankoersen	verb
aankomeling	noun
aankomen	verb
aankomend	adj
aankomer	noun
aankomst	noun
aankomstadres	noun
aankomstdag	noun
aankomstdatum	noun
aankomsthal	noun
aankomstlijn	noun
aankomstplaats	noun
aankomstplek	noun
aankomstpunctualiteit	noun
aankomsttijd	noun
aankomstvertraging	noun
aankondigen	verb
aankondiger	noun
aankondiging	noun
aankondigingbrief	noun
aankondigingsbeleid	noun
aankondigingsblad	noun
aankondigingsbord	noun
aankondigingsbrief	noun
aankondigster	noun
aankoop	noun
aankoopakte	noun
aankoopbedrag	noun
aankoopbelasting	noun
aankoopbeleid	noun
aankoopbeslissing	noun
aankoopbewijs	noun
aankoopbon	noun
aankoopbudget	noun
aankoopcentrale	noun
aankoopcertificaat	noun
aankoopdatum	noun
aankoopdienst	noun
aankoopdirecteur	noun
aankoopfactuur	noun
aankoopfonds	noun
aankoopfraude	noun
aankoopfrequentie	noun
aankoopgedrag	noun
aankoopkoers	noun
aankoopkosten	noun
aankoopkracht	noun
aankooplimiet	noun
aankoopmakelaar	noun
aankoopnota	noun
aankoopoptie	noun
aankooporder	noun
aankooppatroon	noun
aankoopprijs	noun
aankoopproces	noun
aankoopprogramma	noun
aankoopregeling	noun
aankoopsom	noun
aankoopstop	noun
aankoopsubsidie	noun
aankoopsuggestie	noun
aankooptip	noun
aankoopverantwoordelijke	noun
aankoopvoorwaarde	noun
aankoopwaarde	noun
aankopen	verb
aankoper	noun
aankoppelen	verb
aankoppeling	noun
aankorsting	noun
aankrijgen	verb
aankruien	verb
aankruipen	verb
aankruisen	verb
aankunnen	verb
aankunt	verb
aankweek	noun
aankweken	verb
aankweking	noun
aanlachen	verb
aanladen	verb
aanlanden	verb
aanlandig	adj
aanlanding	noun
aanlandingspunt	noun
aanlandplicht	noun
aanlandstation	noun
aanlangen	verb
aanlappen	verb
aanlassen	verb
aanlaten	verb
aanleg	noun
aanleggen	verb
aanlegger	noun
aanleghaven	noun
aanlegkosten	noun
aanlegplaats	noun
aanlegsteiger	noun
aanlegster	noun
aanlegvergunning	noun
aanleiden	verb
aanleiding	noun
aanlengen	verb
aanleren	verb
aanleunbeugel	noun
aanleunen	verb
aanleunflat	noun
aanleuning	noun
aanleuningspunt	noun
aanleunwoning	noun
aanleveren	verb
aanlevering	noun
aanlichten	verb
aanliggen	verb
aanliggend	adj
aanlijken	verb
aanlijmen	verb
aanlijnen	verb
aanlijngebod	noun
aanlijnplicht	noun
aanloeien	verb
aanloeren	verb
aanloeven	verb
aanloggen	verb
aanlokkelijk	adj
aanlokkelijkheid	noun
aanlokken	verb
aanlokking	noun
aanloop	noun
aanloopfase	noun
aanloopgebied	noun
aanloophaven	noun
aanloophuis	noun
aanloopjaar	noun
aanloopkleur	noun
aanloopkosten	noun
aanloopleren	noun
aanloopmaand	noun
aanloopmoeilijkheden	noun
aanloopperiode	noun
aanloopprobleem	noun
aanlooppunt	noun
aanlooproute	noun
aanloopschaal	noun
aanloopspreekuur	noun
aanloopstrook	noun
aanlooptijd	noun
aanlooptransformator	noun
aanloopverlies	noun
aanloopwedstrijd	noun
aanlopen	verb
aanmaak	noun
aanmaakblok	noun
aanmaakdatum	noun
aanmaakhout	noun
aanmaakkosten	noun
aanmaaklimonade	noun
aanmaakvloeistof	noun
aanmailbaar	adj
aanmaken	verb
aanmaker	noun
aanmanen	verb
aanmaning	noun
aanmaningenprocedure	noun
aanmaningensysteem	noun
aanmaningsbrief	noun
aanmaningskosten	noun
aanmaningstekst	noun
aanmarcheren	verb
aanmatigen	verb
aanmatigend	adj
aanmatiging	noun
aanmeerfaciliteit	noun
aanmeerplaats	noun
aanmeersteiger	noun
aanmeldbonus	noun
aanmeldcentrum	noun
aanmelden	verb
aanmelder	noun
aanmeldformulier	noun
aanmeldgegeven	noun
aanmeldgeld	noun
aanmelding	noun
aanmeldingsbon	noun
aanmeldingscherm	noun
aanmeldingsdatum	noun
aanmeldingsformulier	noun
aanmeldingsperiode	noun
aanmeldingsprocedure	noun
aanmeldingspunt	noun
aanmeldingstermijn	noun
aanmeldloket	noun
aanmeldprocedure	noun
aanmeldsticker	noun
aanmengen	verb
aanmenging	noun
aanmeren	verb
aanmerkelijk	adj
aanmerkelijkbelangaandeel	noun
aanmerkelijkbelanghouder	noun
aanmerkelijkbelangpositie	noun
aanmerkelijkbelangregime	noun
aanmerken	verb
aanmerking	noun
aanmeten	verb
aanminnelijk	adj
aanminnelijkheid	noun
aanminnig	adj
aanminnigheid	noun
aanmodderen	verb
aanmodderfakker	noun
aanmoedigen	verb
aanmoedigend	adj
aanmoediging	noun
aanmoedigingsbeleid	noun
aanmoedigingspremie	noun
aanmoedigingsprijs	noun
aanmoedigingssubsidie	noun
aanmoeten	verb
aanmonding	noun
aanmonsteren	verb
aanmonstering	noun
aanmunten	verb
aanmunting	noun
aannaaien	verb
aanname	noun
aannamebeleid	noun
aannamestop	noun
aanneembaar	adj
aanneemsom	noun
aanneemster	noun
aannemelijk	adj
aannemelijkheid	noun
aannemelijkheidsfunctie	noun
aannemen	verb
aannemer	noun
aannemerij	noun
aannemersbedrijf	noun
aannemerscombinatie	noun
aannemersconcern	noun
aannemersfirma	noun
aannemerskartel	noun
aannemersmaterieel	noun
aannemersvergunning	noun
aannemerswereld	noun
aanneming	noun
aannemingsbedrijf	noun
aannemingsconcern	noun
aannemingsmaatschappij	noun
aannemingsovereenkomst	noun
aannemingssom	noun
aanpak	noun
aanpakken	verb
aanpakker	noun
aanpalen	verb
aanpalend	adj
aanpandig	adj
aanpappen	verb
aanpasbaar	adj
aanpasbaarheid	noun
aanpassen	verb
aanpassing	noun
aanpassingsbeleid	noun
aanpassingsdeskundige	noun
aanpassingsfactor	noun
aanpassingsfase	noun
aanpassingsklas	noun
aanpassingskosten	noun
aanpassingsmaatregel	noun
aanpassingsmechanisme	noun
aanpassingsmodus	noun
aanpassingsmoeilijkheden	noun
aanpassingsmoeilijkheid	noun
aanpassingsperiode	noun
aanpassingsplan	noun
aanpassingsprobleem	noun
aanpassingsproces	noun
aanpassingsprogramma	noun
aanpassingsstoornis	noun
aanpassingsstrategie	noun
aanpassingstactiek	noun
aanpassingstechniek	noun
aanpassingstermijn	noun
aanpassingsvermogen	noun
aanpassingswerk	noun
aanpassingswet	noun
aanpersen	verb
aanpezen	verb
aanpikken	verb
aanplakbiljet	noun
aanplakbord	noun
aanplakbrief	noun
aanplakken	verb
aanplakker	noun
aanplakking	noun
aanplakzuil	noun
aanplant	noun
aanplanten	verb
aanplanting	noun
aanplempen	verb
aanplemping	noun
aanploegen	verb
aanporren	verb
aanpoten	verb
aanpraten	verb
aanpreken	verb
aanprijzen	verb
aanprijzer	noun
aanprijzing	noun
aanprikkelen	verb
aanprikkeling	noun
aanprikken	verb
aanprikplek	noun
aanpunten	verb
aanpunter	noun
aanpunting	noun
aanraakbaar	adj
aanraakbeeldscherm	noun
aanraakcomputer	noun
aanraakgevoelig	adj
aanraakscherm	noun
aanraaktoets	noun
aanraden	verb
aanrader	noun
aanraken	verb
aanraking	noun
aanrakingspunt	noun
aanranden	verb
aanrander	noun
aanranding	noun
aanrandster	noun
aanraseren	verb
aanrazen	verb
aanrazeren	verb
aanrecht	noun
aanrechtbank	noun
aanrechtblad	noun
aanrechten	verb
aanrechtkast	noun
aanrechtkastje	noun
aanrechtkeuken	noun
aanrechtsubsidie	noun
aanrechttafel	noun
aanreiken	verb
aanreiker	noun
aanreiking	noun
aanrekenen	verb
aanrekening	noun
aanrennen	verb
aanrichten	verb
aanrichter	noun
aanrijbeveiliging	noun
aanrijden	verb
aanrijder	noun
aanrijding	noun
aanrijdingsformulier	noun
aanrijdingsschade	noun
aanrijdingszaak	noun
aanrijgen	verb
aanrijken	verb
aanrijlimiet	noun
aanrijpen	verb
aanrijroute	noun
aanrijtijd	noun
aanroeien	verb
aanroep	noun
aanroepen	verb
aanroeper	noun
aanroeping	noun
aanroeren	verb
aanroesten	verb
aanroken	verb
aanrollen	verb
aanrommelen	verb
aanrotzooien	verb
aanruisen	verb
aanrukken	verb
aanschaf	noun
aanschaf-btw	noun
aanschafbelasting	noun
aanschafbeleid	noun
aanschafdatum	noun
aanschaffen	verb
aanschaffing	noun
aanschaffingsprijs	noun
aanschaffingswaarde	noun
aanschafkosten	noun
aanschafprijs	noun
aanschafwaarde	noun
aanschakelaar	noun
aanschakelen	verb
aanscharrelen	verb
aanschellen	verb
aanscherpen	verb
aanscherper	noun
aanscherping	noun
aanscheuren	verb
aanschieten	verb
aanschijn	noun
aanschikken	verb
aanschoffelen	verb
aanschoppen	verb
aanschouw	noun
aanschouwbaar	adj
aanschouwelijk	adv
aanschouwelijkheid	noun
aanschouwen	verb
aanschouwer	noun
aanschouwing	noun
aanschouwingsonderwijs	noun
aanschrijden	verb
aanschrijven	verb
aanschrijving	noun
aanschroeven	verb
aanschuinen	verb
aanschuiven	verb
aanschuren	verb
aanschurken	verb
aansjokken	verb
aansjorren	verb
aansjouwen	verb
aanslaan	verb
aanslag	noun
aanslagbiljet	noun
aanslagjaar	noun
aanslaglijst	noun
aanslagnummer	noun
aanslagpleger	noun
aanslagraam	noun
aanslagregelaar	noun
aanslagtermijn	noun
