# Slovak diacritic-fold table (D-450) - base letter -> every real accented variant, so a token typed without
# its diacritic still reaches the correctly-spelled word. hints.tsv (same folder) picks one representative
# symbol per key for the AltGr long-press hint; this file keeps the complete set per base letter - a/o/l host
# two real, distinct Slovak letters each (á/ä, ó/ô, l/ĺ - the long-vowel/syllabic-consonant pairs).
a	á,ä
c	č
d	ď
e	é
i	í
l	ĺ,ľ
n	ň
o	ó,ô
r	ŕ
s	š
t	ť
u	ú
y	ý
z	ž
