# Danish sentence-boundary abbreviations (D-434, §6) - a period after one of these does not by itself mark
# a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period included,
# one per line, matching Abbreviations.parse()'s own format.
f.eks.
dvs.
osv.
bl.a.
m.fl.
kl.
nr.
s.
vol.
obs.
etc.
jf.
ca.
dr.
prof.
m.m.
resp.
pga.
mv.
red.
