# Lithuanian diacritic-fold table (D-450) - base letter -> every real accented variant, so a token typed
# without its diacritic still reaches the correctly-spelled word. hints.tsv (same folder) picks one
# representative symbol per key for the AltGr long-press hint; this file keeps the complete set per base
# letter - e and u each host two real, distinct Lithuanian letters (ę/ė and ų/ū respectively, not alternate
# spellings of each other).
a	ą
c	č
e	ę,ė
i	į
s	š
u	ų,ū
z	ž
