# Ukrainian sentence-boundary abbreviations (D-450-followup, §6) - a period after one of these does not by
# itself mark a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period
# included, one per line, matching Abbreviations.parse()'s own format.
т.д.
т.п.
т.зв.
ін.
напр.
див.
пор.
ст.
рр.
р.
м.
вул.
обл.
проф.
акад.
ім.
гл.
канд.
доц.
гр.
грн.
коп.
