# Latvian diacritic-fold table (D-450) - base letter -> every real accented variant, so a token typed
# without its diacritic still reaches the correctly-spelled word. hints.tsv (same folder) picks one
# representative symbol per key for the AltGr long-press hint; this file keeps the complete set per base
# letter - every Latvian diacritic letter here has exactly one real variant.
a	ā
c	č
e	ē
g	ģ
i	ī
k	ķ
l	ļ
n	ņ
s	š
u	ū
z	ž
