infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
aalen	aale	aalst	aalt	aalen	aalt	aalen	aalte	aaltest	aalte	aalten	aaltet	aalten	geaalt	aal	aalt
aasen	aase	aast	aast	aasen	aast	aasen	aaste	aastest	aaste	aasten	aastet	aasten	geaast	aase	aast
ab sein	bin ab	bist ab	ist ab	sind ab	seid ab	sind ab	war ab	warst ab	war ab	waren ab	wart ab	waren ab	ab gewesen	sei ab	seid ab
abaasen	aase ab	aast ab	aast ab	aasen ab	aast ab	aasen ab	aaste ab	aastest ab	aaste ab	aasten ab	aastet ab	aasten ab	abgeaast	aase ab	aast ab
abacheln	achle ab	achelst ab	achelt ab	acheln ab	achelt ab	acheln ab	achelte ab	acheltest ab	achelte ab	achelten ab	acheltet ab	achelten ab	abgeachelt	achele ab	achelt ab
abachen	ache mich ab	achst dich ab	acht sich ab	achen uns ab	acht euch ab	achen sich ab	achte mich ab	achtest dich ab	achte sich ab	achten uns ab	achtet euch ab	achten sich ab	abgeacht	ach ab	acht ab
abackern	acker ab	ackerst ab	ackert ab	ackern ab	ackert ab	ackern ab	ackerte ab	ackertest ab	ackerte ab	ackerten ab	ackertet ab	ackerten ab	abgeackert	ackere ab	ackert ab
abaissieren	abaissiere	abaissierst	abaissiert	abaissieren	abaissiert	abaissieren	abaissierte	abaissiertest	abaissierte	abaissierten	abaissiertet	abaissierten	abaissiert	abaissiere	abaissiert
abalienieren	abalieniere	abalienierst	abalieniert	abalienieren	abalieniert	abalienieren	abalienierte	abalieniertest	abalienierte	abalienierten	abalieniertet	abalienierten	abalieniert	abalieniere	abalieniert
abandonnieren	abandonniere	abandonnierst	abandonniert	abandonnieren	abandonniert	abandonnieren	abandonnierte	abandonniertest	abandonnierte	abandonnierten	abandonniertet	abandonnierten	abandonniert	abandonniere	abandonniert
abangeln	angle ab	angelst ab	angelt ab	angeln ab	angelt ab	angeln ab	angelte ab	angeltest ab	angelte ab	angelten ab	angeltet ab	angelten ab	abgeangelt	angel ab	angelt ab
abarbeiten	arbeite ab	arbeitest ab	arbeitet ab	arbeiten ab	arbeitet ab	arbeiten ab	arbeitete ab	arbeitetest ab	arbeitete ab	arbeiteten ab	arbeitetet ab	arbeiteten ab	abgearbeitet	arbeite ab	arbeitet ab
abarten	arte ab	artest ab	artet ab	arten ab	artet ab	arten ab	artete ab	artetest ab	artete ab	arteten ab	artetet ab	arteten ab	abgeartet	arte ab	artet ab
abasten													abgeastet	aste ab	astet ab
abatmen	atme ab	atmest ab	atmet ab	atmen ab	atmet ab	atmen ab	atmete ab	atmetest ab	atmete ab	atmeten ab	atmetet ab	atmeten ab	abgeatmet	atme ab	atmet ab
abbacken	backe ab	bäckst ab	bäckt ab	backen ab	backt ab	backen ab	buk ab	bukst ab	buk ab	buken ab	bukt ab	buken ab	abgebacken	back ab	backt ab
abbaden	bade ab	badest ab	badet ab	baden ab	badet ab	baden ab	badete ab	badetest ab	badete ab	badeten ab	badetet ab	badeten ab	abgebadet	bade ab	badet ab
abbaggern	bagger ab	baggerst ab	baggert ab	baggern ab	baggert ab	baggern ab	baggerte ab	baggertest ab	baggerte ab	baggerten ab	baggertet ab	baggerten ab	abgebaggert	bagger ab	baggert ab
abbahren	bahre ab	bahrst ab	bahrt ab	bahren ab	bahrt ab	bahren ab	bahrte ab	bahrtest ab	bahrte ab	bahrten ab	bahrtet ab	bahrten ab	abgebahrt	bahre ab	bahrt ab
abbaken	bake ab	bakst ab	bakt ab	baken ab	bakt ab	baken ab	bakte ab	baktest ab	bakte ab	bakten ab	baktet ab	bakten ab	abgebakt	bake ab	bakt ab
abbalgen	balge ab	balgst ab	balgt ab	balgen ab	balgt ab	balgen ab	balgte ab	balgtest ab	balgte ab	balgten ab	balgtet ab	balgten ab	abgebalgt	balg ab	balgt ab
abballern	baller ab	ballerst ab	ballert ab	ballern ab	ballert ab	ballern ab	ballerte ab	ballertest ab	ballerte ab	ballerten ab	ballertet ab	ballerten ab	abgeballert	ballere ab	ballert ab
abbalzen	balze ab	balzt ab	balzt ab	balzen ab	balzt ab	balzen ab	balzte ab	balztest ab	balzte ab	balzten ab	balztet ab	balzten ab	abgebalzt	balz ab	balzt ab
abbamsen	bamse ab	bamst ab	bamst ab	bamsen ab	bamst ab	bamsen ab	bamste ab	bamstest ab	bamste ab	bamsten ab	bamstet ab	bamsten ab	abgebamst	bams ab	bamst ab
abbangen	bange ab	bangst ab	bangt ab	bangen ab	bangt ab	bangen ab	bangte ab	bangtest ab	bangte ab	bangten ab	bangtet ab	bangten ab	abgebangt	bang ab	bangt ab
abbannen	bann ab	bannst ab	bannt ab	bannen ab	bannt ab	bannen ab	bannte ab	banntest ab	bannte ab	bannten ab	banntet ab	bannten ab	abgebannt	bann ab	bannt ab
abbasten	baste ab	bastest ab	bastet ab	basten ab	bastet ab	basten ab	bastete ab	bastetest ab	bastete ab	basteten ab	bastetet ab	basteten ab	abgebastet	baste ab	bastet ab
abbauen	baue ab	baust ab	baut ab	bauen ab	baut ab	bauen ab	baute ab	bautest ab	baute ab	bauten ab	bautet ab	bauten ab	abgebaut	baue ab	bauet ab
abbaumen	baum ab	baumst ab	baumt ab	baumen ab	baumt ab	baumen ab	baumte ab	baumtest ab	baumte ab	baumten ab	baumtet ab	baumten ab	abgebaumt	baum ab	baumt ab
abbedingen	bedinge ab	bedingst ab	bedingt ab	bedingen ab	bedingt ab	bedingen ab	bedang ab	bedangst ab	bedang ab	bedangen ab	bedangt ab	bedangen ab	abbedingt	beding ab	bedingt ab
abbeereln													abgebeerelt	beerel ab	beerelt ab
abbeeren	beere ab	beerst ab	beert ab	beeren ab	beert ab	beeren ab	beerte ab	beertest ab	beerte ab	beerten ab	beertet ab	beerten ab	abgebeert	beer ab	beert ab
abbefehlen	befehle ab	befiehlst ab	befiehlt ab	befehlen ab	befehlt ab	befehlen ab	befahl ab	befahlst ab	befahl ab	befahlen ab	befahlt ab	befahlen ab	abbefohlen	befiehl ab	befiehlt ab
abbegeben	begebe mich ab	begibst dich ab	begibt sich ab	begeben uns ab	begebt euch ab	begeben sich ab	begab mich ab	begabst dich ab	begab sich ab	begaben uns ab	begabt euch ab	begaben sich ab	abbegeben	begib ab	begebt ab
abbegehren	begehre ab	begehrst ab	begehrt ab	begehren ab	begehrt ab	begehren ab	begehrte ab	begehrtest ab	begehrte ab	begehrten ab	begehrtet ab	begehrten ab	abbegehrt	begehre ab	begehrt ab
abbehalten	behalte ab	behältst ab	behält ab	behalten ab	behaltet ab	behalten ab	behielt ab	behieltest ab	behielt ab	behielten ab	behieltet ab	behielten ab	abbehalten	behalt ab	behaltet ab
abbeizen	beize ab	beizt ab	beizt ab	beizen ab	beizt ab	beizen ab	beizte ab	beiztest ab	beizte ab	beizten ab	beiztet ab	beizten ab	abgebeizt	beiz ab	beizt ab
abbeißen	beiße ab	beißt ab	beißt ab	beißen ab	beißt ab	beißen ab	biss ab	bissest ab	biss ab	bissen ab	bisst ab	bissen ab	abgebissen	beiß ab	beißt ab
abbekommen	bekomme ab	bekommst ab	bekommt ab	bekommen ab	bekommt ab	bekommen ab	bekam ab	bekamst ab	bekam ab	bekamen ab	bekamt ab	bekamen ab	abbekommen	bekomm ab	bekommt ab
abbellen	belle ab	bellst ab	bellt ab	bellen ab	bellt ab	bellen ab	bellte ab	belltest ab	bellte ab	bellten ab	belltet ab	bellten ab	abgebellt	bell ab	bellt ab
abbergen	berge ab	birgst ab	birgt ab	bergen ab	bergt ab	bergen ab	barg ab	bargst ab	barg ab	bargen ab	bargt ab	bargen ab	abgeborgen	birg ab	bergt ab
abbersten			birst ab			bersten ab			barst ab			barsten ab	abgeborsten		
abberufen	berufe ab	berufst ab	beruft ab	berufen ab	beruft ab	berufen ab	berief ab	beriefst ab	berief ab	beriefen ab	berieft ab	beriefen ab	abberufen	beruf ab	beruft ab
abbestellen	bestelle ab	bestellst ab	bestellt ab	bestellen ab	bestellt ab	bestellen ab	bestellte ab	bestelltest ab	bestellte ab	bestellten ab	bestelltet ab	bestellten ab	abbestellt	bestell ab	bestellt ab
abbeten	bete ab	betest ab	betet ab	beten ab	betet ab	beten ab	betete ab	betetest ab	betete ab	beteten ab	betetet ab	beteten ab	abgebetet	bet ab	betet ab
abbetteln	bettle ab	bettelst ab	bettelt ab	betteln ab	bettelt ab	betteln ab	bettelte ab	betteltest ab	bettelte ab	bettelten ab	betteltet ab	bettelten ab	abgebettelt	bettele ab	bettelt ab
abbeuteln	beutle ab	beutelst ab	beutelt ab	beuteln ab	beutelt ab	beuteln ab	beutelte ab	beuteltest ab	beutelte ab	beutelten ab	beuteltet ab	beutelten ab	abgebeutelt	beutele ab	beutelt ab
abbezahlen	bezahle ab	bezahlst ab	bezahlt ab	bezahlen ab	bezahlt ab	bezahlen ab	bezahlte ab	bezahltest ab	bezahlte ab	bezahlten ab	bezahltet ab	bezahlten ab	abbezahlt	bezahl ab	bezahlt ab
abbiegen	biege ab	biegst ab	biegt ab	biegen ab	biegt ab	biegen ab	bog ab	bogst ab	bog ab	bogen ab	bogt ab	bogen ab	abgebogen	bieg ab	biegt ab
abbieten	biete ab	bietest ab	bietet ab	bieten ab	bietet ab	bieten ab	bot ab	botest ab	bot ab	boten ab	botet ab	boten ab	abgeboten	biet ab	bietet ab
abbilden	bilde ab	bildest ab	bildet ab	bilden ab	bildet ab	bilden ab	bildete ab	bildetest ab	bildete ab	bildeten ab	bildetet ab	bildeten ab	abgebildet	bild ab	bildet ab
abbilligen	billige ab	billigst ab	billigt ab	billigen ab	billigt ab	billigen ab	billigte ab	billigtest ab	billigte ab	billigten ab	billigtet ab	billigten ab	abgebilligt	billige ab	billigt ab
abbimsen	bimse ab	bimst ab	bimst ab	bimsen ab	bimst ab	bimsen ab	bimste ab	bimstest ab	bimste ab	bimsten ab	bimstet ab	bimsten ab	abgebimst	bims ab	bimst ab
abbinden	binde ab	bindest ab	bindet ab	binden ab	bindet ab	binden ab	band ab	bandest ab	band ab	banden ab	bandet ab	banden ab	abgebunden	bind ab	bindet ab
abbitten	bitte ab	bittest ab	bittet ab	bitten ab	bittet ab	bitten ab	bat ab	batest ab	bat ab	baten ab	batet ab	baten ab	abgebeten	bitte ab	bittet ab
abblasen	blase ab	bläst ab	bläst ab	blasen ab	blast ab	blasen ab	blies ab	bliesest ab	blies ab	bliesen ab	bliest ab	bliesen ab	abgeblasen	blas ab	blast ab
abblassen	blasse ab	blasst ab	blasst ab	blassen ab	blasst ab	blassen ab	blasste ab	blasstest ab	blasste ab	blassten ab	blasstet ab	blassten ab	abgeblasst	blass ab	blasst ab
abblatteln													abgeblattelt	blattle ab	blattelt ab
abblatten	blatte ab	blattest ab	blattet ab	blatten ab	blattet ab	blatten ab	blattete ab	blattetest ab	blattete ab	blatteten ab	blattetet ab	blatteten ab	abgeblattet	blatte ab	blattet ab
abbleiben	bleibe ab	bleibst ab	bleibt ab	bleiben ab	bleibt ab	bleiben ab	blieb ab	bliebst ab	blieb ab	blieben ab	bliebt ab	blieben ab	abgeblieben	bleib ab	bleibt ab
abbleichen	bleiche ab	bleichst ab	bleicht ab	bleichen ab	bleicht ab	bleichen ab	bleichte ab	bleichtest ab	bleichte ab	bleichten ab	bleichtet ab	bleichten ab	abgebleicht	bleich ab	bleicht ab
abblenden	blende ab	blendest ab	blendet ab	blenden ab	blendet ab	blenden ab	blendete ab	blendetest ab	blendete ab	blendeten ab	blendetet ab	blendeten ab	abgeblendet	blende ab	blendet ab
abblitzen	blitze ab	blitzt ab	blitzt ab	blitzen ab	blitzt ab	blitzen ab	blitzte ab	blitztest ab	blitzte ab	blitzten ab	blitztet ab	blitzten ab	abgeblitzt	blitze ab	blitzt ab
abblocken	blocke ab	blockst ab	blockt ab	blocken ab	blockt ab	blocken ab	blockte ab	blocktest ab	blockte ab	blockten ab	blocktet ab	blockten ab	abgeblockt	block ab	blockt ab
abblättern	blätter ab	blätterst ab	blättert ab	blättern ab	blättert ab	blättern ab	blätterte ab	blättertest ab	blätterte ab	blätterten ab	blättertet ab	blätterten ab	abgeblättert	blättre ab	blättert ab
abblühen	blühe ab	blühst ab	blüht ab	blühen ab	blüht ab	blühen ab	blühte ab	blühtest ab	blühte ab	blühten ab	blühtet ab	blühten ab	abgeblüht	blüh ab	blüht ab
abbohren	bohre ab	bohrst ab	bohrt ab	bohren ab	bohrt ab	bohren ab	bohrte ab	bohrtest ab	bohrte ab	bohrten ab	bohrtet ab	bohrten ab	abgebohrt	bohre ab	bohrt ab
abborgen	borge ab	borgst ab	borgt ab	borgen ab	borgt ab	borgen ab	borgte ab	borgtest ab	borgte ab	borgten ab	borgtet ab	borgten ab	abgeborgt	borg ab	borgt ab
abbraten	brate ab	brätst ab	brät ab	braten ab	bratet ab	braten ab	briet ab	brietest ab	briet ab	brieten ab	brietet ab	brieten ab	abgebraten	brat ab	bratet ab
abbrauchen	brauche ab	brauchst ab	braucht ab	brauchen ab	braucht ab	brauchen ab	brauchte ab	brauchtest ab	brauchte ab	brauchten ab	brauchtet ab	brauchten ab	abgebraucht	brauch ab	braucht ab
abbrauen	braue ab	braust ab	braut ab	brauen ab	braut ab	brauen ab	braute ab	brautest ab	braute ab	brauten ab	brautet ab	brauten ab	abgebraut	brau ab	braut ab
abbrausen	brause ab	braust ab	braust ab	brausen ab	braust ab	brausen ab	brauste ab	braustest ab	brauste ab	brausten ab	braustet ab	brausten ab	abgebraust	braus ab	braust ab
abbrechen	breche ab	brichst ab	bricht ab	brechen ab	brecht ab	brechen ab	brach ab	brachst ab	brach ab	brachen ab	bracht ab	brachen ab	abgebrochen	brich ab	brecht ab
abbreiten	breite ab	breitest ab	breitet ab	breiten ab	breitet ab	breiten ab	breitete ab	breitetest ab	breitete ab	breiteten ab	breitetet ab	breiteten ab	abgebreitet	breit ab	breitet ab
abbremsen	bremse ab	bremst ab	bremst ab	bremsen ab	bremst ab	bremsen ab	bremste ab	bremstest ab	bremste ab	bremsten ab	bremstet ab	bremsten ab	abgebremst	brems ab	bremst ab
abbrennen	brenne ab	brennst ab	brennt ab	brennen ab	brennt ab	brennen ab	brannte ab	branntest ab	brannte ab	brannten ab	branntet ab	brannten ab	abgebrannt	brenn ab	brennt ab
abbreviieren	abbreviiere	abbreviierst	abbreviiert	abbreviieren	abbreviiert	abbreviieren	abbreviierte	abbreviiertest	abbreviierte	abbreviierten	abbreviiertet	abbreviierten	abbreviiert	abbreviier	abbreviiert
abbringen	bringe ab	bringst ab	bringt ab	bringen ab	bringt ab	bringen ab	brachte ab	brachtest ab	brachte ab	brachten ab	brachtet ab	brachten ab	abgebracht	bring ab	bringt ab
abbrocken	brocke ab	brockst ab	brockt ab	brocken ab	brockt ab	brocken ab	brockte ab	brocktest ab	brockte ab	brockten ab	brocktet ab	brockten ab	abgebrockt	brocke ab	brockt ab
abbrummen	brumm ab	brummst ab	brummt ab	brummen ab	brummt ab	brummen ab	brummte ab	brummtest ab	brummte ab	brummten ab	brummtet ab	brummten ab	abgebrummt	brumm ab	brummt ab
abbrunften			brunftet ab			brunften ab			brunftete ab			brunfteten ab	abgebrunftet		
abbröckeln	bröckle ab	bröckelst ab	bröckelt ab	bröckeln ab	bröckelt ab	bröckeln ab	bröckelte ab	bröckeltest ab	bröckelte ab	bröckelten ab	bröckeltet ab	bröckelten ab	abgebröckelt	bröckele ab	bröckelt ab
abbröseln	brösle ab	bröselst ab	bröselt ab	bröseln ab	bröselt ab	bröseln ab	bröselte ab	bröseltest ab	bröselte ab	bröselten ab	bröseltet ab	bröselten ab	abgebröselt	brösele ab	bröselt ab
abbrühen	brühe ab	brühst ab	brüht ab	brühen ab	brüht ab	brühen ab	brühte ab	brühtest ab	brühte ab	brühten ab	brühtet ab	brühten ab	abgebrüht	brüh ab	brüht ab
abbrüten			brütet ab			brüten ab			brütete ab			brüteten ab	abgebrütet		
abbuchen	buche ab	buchst ab	bucht ab	buchen ab	bucht ab	buchen ab	buchte ab	buchtest ab	buchte ab	buchten ab	buchtet ab	buchten ab	abgebucht	buch ab	bucht ab
abbuden													abgebudet		
abbuffen	buffe ab	buffst ab	bufft ab	buffen ab	bufft ab	buffen ab	buffte ab	bufftest ab	buffte ab	bufften ab	bufftet ab	bufften ab	abgebufft	buff ab	bufft ab
abbuhlen	buhle ab	buhlst ab	buhlt ab	buhlen ab	buhlt ab	buhlen ab	buhlte ab	buhltest ab	buhlte ab	buhlten ab	buhltet ab	buhlten ab	abgebuhlt	buhl ab	buhlt ab
abbummeln	bummle ab	bummelst ab	bummelt ab	bummeln ab	bummelt ab	bummeln ab	bummelte ab	bummeltest ab	bummelte ab	bummelten ab	bummeltet ab	bummelten ab	abgebummelt	bummele ab	bummelt ab
abbusseln	bussle ab	busselst ab	busselt ab	busseln ab	busselt ab	busseln ab	busselte ab	busseltest ab	busselte ab	busselten ab	busseltet ab	busselten ab	abgebusselt	bussel ab	busselt ab
abbussen	busse ab	busst ab	busst ab	bussen ab	busst ab	bussen ab	busste ab	busstest ab	busste ab	bussten ab	busstet ab	bussten ab	abgebusst	busse ab	busse ab
abbäumen	bäum ab	bäumst ab	bäumt ab	bäumen ab	bäumt ab	bäumen ab	bäumte ab	bäumtest ab	bäumte ab	bäumten ab	bäumtet ab	bäumten ab	abgebäumt	bäum ab	bäumt ab
abböschen	bösche ab	böschst ab	böscht ab	böschen ab	böscht ab	böschen ab	böschte ab	böschtest ab	böschte ab	böschten ab	böschtet ab	böschten ab	abgeböscht	bösch ab	böscht ab
abbücken	bücke ab	bückst ab	bückt ab	bücken ab	bückt ab	bücken ab	bückte ab	bücktest ab	bückte ab	bückten ab	bücktet ab	bückten ab	abgebückt	bücke ab	bückt ab
abbügeln	bügle ab	bügelst ab	bügelt ab	bügeln ab	bügelt ab	bügeln ab	bügelte ab	bügeltest ab	bügelte ab	bügelten ab	bügeltet ab	bügelten ab	abgebügelt	bügle ab	bügelt ab
abbürsten	bürste ab	bürstest ab	bürstet ab	bürsten ab	bürstet ab	bürsten ab	bürstete ab	bürstetest ab	bürstete ab	bürsteten ab	bürstetet ab	bürsteten ab	abgebürstet	bürst ab	bürstet ab
abbüßen	büße ab	büßt ab	büßt ab	büßen ab	büßt ab	büßen ab	büßte ab	büßtest ab	büßte ab	büßten ab	büßtet ab	büßten ab	abgebüßt	büße ab	büßt ab
abcashen	cashe ab	cashst ab	casht ab	cashen ab	casht ab	cashen ab	cashte ab	cashtest ab	cashte ab	cashten ab	cashtet ab	cashten ab	abgecasht	cash ab	casht ab
abchangieren	changiere ab	changierst ab	changiert ab	changieren ab	changiert ab	changieren ab	changierte ab	changiertest ab	changierte ab	changierten ab	changiertet ab	changierten ab	abchangiert	changier ab	changiert ab
abchecken	checke ab	checkst ab	checkt ab	checken ab	checkt ab	checken ab	checkte ab	checktest ab	checkte ab	checkten ab	checktet ab	checkten ab	abgecheckt	check ab	checkt ab
abchillen	chille ab	chillst ab	chillt ab	chillen ab	chillt ab	chillen ab	chillte ab	chilltest ab	chillte ab	chillten ab	chilltet ab	chillten ab	abgechillt	chill ab	chillt ab
abchoppen	choppe ab	choppst ab	choppt ab	choppen ab	choppt ab	choppen ab	choppte ab	chopptest ab	choppte ab	choppten ab	chopptet ab	choppten ab	abgechoppt	chopp ab	choppt ab
abdachen	dache ab	dachst ab	dacht ab	dachen ab	dacht ab	dachen ab	dachte ab	dachtest ab	dachte ab	dachten ab	dachtet ab	dachten ab	abgedacht	dach ab	dacht ab
abdampfen	dampfe ab	dampfst ab	dampft ab	dampfen ab	dampft ab	dampfen ab	dampfte ab	dampftest ab	dampfte ab	dampften ab	dampftet ab	dampften ab	abgedampft	dampf ab	dampft ab
abdanken	danke ab	dankst ab	dankt ab	danken ab	dankt ab	danken ab	dankte ab	danktest ab	dankte ab	dankten ab	danktet ab	dankten ab	abgedankt	dank ab	dankt ab
abdarben	darbe ab	darbst ab	darbt ab	darben ab	darbt ab	darben ab	darbte ab	darbtest ab	darbte ab	darbten ab	darbtet ab	darbten ab	abgedarbt	darb ab	darbt ab
abdasseln	dassle ab	dasselst ab	dasselt ab	dasseln ab	dasselt ab	dasseln ab	dasselte ab	dasseltest ab	dasselte ab	dasselten ab	dasseltet ab	dasselten ab	abgedasselt	dassele ab	dasselt ab
abdeckeln	deckle ab	deckelst ab	deckelt ab	deckeln ab	deckelt ab	deckeln ab	deckelte ab	deckeltest ab	deckelte ab	deckelten ab	deckeltet ab	deckelten ab	abgedeckelt	deckle ab	deckelt ab
abdecken	decke ab	deckst ab	deckt ab	decken ab	deckt ab	decken ab	deckte ab	decktest ab	deckte ab	deckten ab	decktet ab	deckten ab	abgedeckt	deck ab	deckt ab
abdeichen	deiche ab	deichst ab	deicht ab	deichen ab	deicht ab	deichen ab	deichte ab	deichtest ab	deichte ab	deichten ab	deichtet ab	deichten ab	abgedeicht	deich ab	deicht ab
abdekorieren	dekoriere ab	dekorierst ab	dekoriert ab	dekorieren ab	dekoriert ab	dekorieren ab	dekorierte ab	dekoriertest ab	dekorierte ab	dekorierten ab	dekoriertet ab	dekorierten ab	abdekoriert	dekorier ab	dekoriert ab
abdestillieren	destilliere ab	destillierst ab	destilliert ab	destillieren ab	destilliert ab	destillieren ab	destillierte ab	destilliertest ab	destillierte ab	destillierten ab	destilliertet ab	destillierten ab	abdestilliert	destilliere ab	destilliert ab
abdichten	dichte ab	dichtest ab	dichtet ab	dichten ab	dichtet ab	dichten ab	dichtete ab	dichtetest ab	dichtete ab	dichteten ab	dichtetet ab	dichteten ab	abgedichtet	dichte ab	dichtet ab
abdicken	dicke ab	dickst ab	dickt ab	dicken ab	dickt ab	dicken ab	dickte ab	dicktest ab	dickte ab	dickten ab	dicktet ab	dickten ab	abgedickt	dick ab	dickt ab
abdienen	dien ab	dienst ab	dient ab	dienen ab	dient ab	dienen ab	diente ab	dientest ab	diente ab	dienten ab	dientet ab	dienten ab	abgedient	dien ab	dient ab
abdingen	dinge ab	dingst ab	dingt ab	dingen ab	dingt ab	dingen ab	dingte ab	dingtest ab	dingte ab	dingten ab	dingtet ab	dingten ab	abgedingt	dinge ab	dingt ab
abdizieren	abdiziere	abdizierst	abdiziert	abdizieren	abdiziert	abdizieren	abdizierte	abdiziertest	abdizierte	abdizierten	abdiziertet	abdizierten	abdiziert	abdiziere	abdiziert
abdocken	docke ab	dockst ab	dockt ab	docken ab	dockt ab	docken ab	dockte ab	docktest ab	dockte ab	dockten ab	docktet ab	dockten ab	abgedockt	dock ab	dockt ab
abdonnern	donner ab	donnerst ab	donnert ab	donnern ab	donnert ab	donnern ab	donnerte ab	donnertest ab	donnerte ab	donnerten ab	donnertet ab	donnerten ab	abgedonnert	donnere ab	donnert ab
abdorren	dorre ab	dorrst ab	dorrt ab	dorren ab	dorrt ab	dorren ab	dorrte ab	dorrtest ab	dorrte ab	dorrten ab	dorrtet ab	dorrten ab	abgedorrt	dorr ab	dorrt ab
abdrehen	drehe ab	drehst ab	dreht ab	drehen ab	dreht ab	drehen ab	drehte ab	drehtest ab	drehte ab	drehten ab	drehtet ab	drehten ab	abgedreht	dreh ab	dreht ab
abdreschen	dresche ab	drischst ab	drischt ab	dreschen ab	drescht ab	dreschen ab	drosch ab	droschst ab	drosch ab	droschen ab	droscht ab	droschen ab	abgedroschen	drisch ab	drescht ab
abdriften	drifte ab	driftest ab	driftet ab	driften ab	driftet ab	driften ab	driftete ab	driftetest ab	driftete ab	drifteten ab	driftetet ab	drifteten ab	abgedriftet	drift ab	driftet ab
abdringen	dringe ab	dringst ab	dringt ab	dringen ab	dringt ab	dringen ab	drang ab	drangst ab	drang ab	drangen ab	drangt ab	drangen ab	abgedrungen	dring ab	dringt ab
abdrosseln	drossle ab	drosselst ab	drosselt ab	drosseln ab	drosselt ab	drosseln ab	drosselte ab	drosseltest ab	drosselte ab	drosselten ab	drosseltet ab	drosselten ab	abgedrosselt	drossel ab	drosselt ab
abdrucken	drucke ab	druckst ab	druckt ab	drucken ab	druckt ab	drucken ab	druckte ab	drucktest ab	druckte ab	druckten ab	drucktet ab	druckten ab	abgedruckt	druck ab	druckt ab
abdrängen	dränge ab	drängst ab	drängt ab	drängen ab	drängt ab	drängen ab	drängte ab	drängtest ab	drängte ab	drängten ab	drängtet ab	drängten ab	abgedrängt	dränge ab	drängt ab
abdrücken	drücke ab	drückst ab	drückt ab	drücken ab	drückt ab	drücken ab	drückte ab	drücktest ab	drückte ab	drückten ab	drücktet ab	drückten ab	abgedrückt	drück ab	drückt ab
abducken	ducke ab	duckst ab	duckt ab	ducken ab	duckt ab	ducken ab	duckte ab	ducktest ab	duckte ab	duckten ab	ducktet ab	duckten ab	abgeduckt	duck ab	duckt ab
abduften	dufte ab	duftest ab	duftet ab	duften ab	duftet ab	duften ab	duftete ab	duftetest ab	duftete ab	dufteten ab	duftetet ab	dufteten ab	abgeduftet	duft ab	duftet ab
abdunkeln	dunkle ab	dunkelst ab	dunkelt ab	dunkeln ab	dunkelt ab	dunkeln ab	dunkelte ab	dunkeltest ab	dunkelte ab	dunkelten ab	dunkeltet ab	dunkelten ab	abgedunkelt	dunkle ab	dunkelt ab
abduschen	dusche ab	duschst ab	duscht ab	duschen ab	duscht ab	duschen ab	duschte ab	duschtest ab	duschte ab	duschten ab	duschtet ab	duschten ab	abgeduscht	dusch ab	duscht ab
abduzieren	abduziere	abduzierst	abduziert	abduzieren	abduziert	abduzieren	abduzierte	abduziertest	abduzierte	abduzierten	abduziertet	abduzierten	abduziert	abduzier	abduziert
abdämmen	dämm ab	dämmst ab	dämmt ab	dämmen ab	dämmt ab	dämmen ab	dämmte ab	dämmtest ab	dämmte ab	dämmten ab	dämmtet ab	dämmten ab	abgedämmt	dämm ab	dämmt ab
abdämpfen	dämpfe ab	dämpfst ab	dämpft ab	dämpfen ab	dämpft ab	dämpfen ab	dämpfte ab	dämpftest ab	dämpfte ab	dämpften ab	dämpftet ab	dämpften ab	abgedämpft	dämpf ab	dämpft ab
abdüsen	düse ab	düst ab	düst ab	düsen ab	düst ab	düsen ab	düste ab	düstest ab	düste ab	düsten ab	düstet ab	düsten ab	abgedüst	düse ab	düst ab
abebben			ebbt ab			ebben ab			ebbte ab			ebbten ab	abgeebbt		
abecedieren	abecediere	abecedierst	abecediert	abecedieren	abecediert	abecedieren	abecedierte	abecediertest	abecedierte	abecedierten	abecediertet	abecedierten	abecediert	abecediere	abecediert
abeggen	egge ab	eggst ab	eggt ab	eggen ab	eggt ab	eggen ab	eggte ab	eggtest ab	eggte ab	eggten ab	eggtet ab	eggten ab	abgeeggt	egg ab	eggt ab
abeisen	eise ab	eist ab	eist ab	eisen ab	eist ab	eisen ab	eiste ab	eistest ab	eiste ab	eisten ab	eistet ab	eisten ab	abgeeist	eis ab	eist ab
abendessen													abendgegessen		
abenteuern	abenteuer	abenteuerst	abenteuert	abenteuern	abenteuert	abenteuern	abenteuerte	abenteuertest	abenteuerte	abenteuerten	abenteuertet	abenteuerten	geabenteuert	abenteuere	abenteuert
aberkennen	erkenne ab	erkennst ab	erkennt ab	erkennen ab	erkennt ab	erkennen ab	erkannte ab	erkanntest ab	erkannte ab	erkannten ab	erkanntet ab	erkannten ab	aberkannt	erkenne ab	erkennt ab
abern	aber	aberst	abert	abern	abert	abern	aberte	abertest	aberte	aberten	abertet	aberten	geabert	abere	abert
abernten	ernte ab	erntest ab	erntet ab	ernten ab	erntet ab	ernten ab	erntete ab	erntetest ab	erntete ab	ernteten ab	erntetet ab	ernteten ab	abgeerntet	ernt ab	erntet ab
aberrieren	aberriere	aberrierst	aberriert	aberrieren	aberriert	aberrieren	aberrierte	aberriertest	aberrierte	aberrierten	aberriertet	aberrierten	aberriert	aberrier	aberriert
