infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
weiterverscherbeln	verscherble weiter	verscherbelst weiter	verscherbelt weiter	verscherbeln weiter	verscherbelt weiter	verscherbeln weiter	verscherbelte weiter	verscherbeltest weiter	verscherbelte weiter	verscherbelten weiter	verscherbeltet weiter	verscherbelten weiter	weiterverscherbelt	verscherble weiter	verscherbelt weiter
weiterverscheuern	verscheuer weiter	verscheuerst weiter	verscheuert weiter	verscheuern weiter	verscheuert weiter	verscheuern weiter	verscheuerte weiter	verscheuertest weiter	verscheuerte weiter	verscheuerten weiter	verscheuertet weiter	verscheuerten weiter	weiterverscheuert	verscheuere weiter	verscheuert weiter
weiterversichern	versicher weiter	versicherst weiter	versichert weiter	versichern weiter	versichert weiter	versichern weiter	versicherte weiter	versichertest weiter	versicherte weiter	versicherten weiter	versichertet weiter	versicherten weiter	weiterversichert	versicher weiter	versichert weiter
weiterverweisen	verweise weiter	verweist weiter	verweist weiter	verweisen weiter	verweist weiter	verweisen weiter	verwies weiter	verwiesest weiter	verwies weiter	verwiesen weiter	verwiest weiter	verwiesen weiter	weiterverwiesen	verweise weiter	verweist weiter
weiterverwenden	verwende weiter	verwendest weiter	verwendet weiter	verwenden weiter	verwendet weiter	verwenden weiter	verwendete weiter	verwendetest weiter	verwendete weiter	verwendeten weiter	verwendetet weiter	verwendeten weiter	weiterverwendet	verwend weiter	verwendet weiter
weiterveräußern	veräußer weiter	veräußerst weiter	veräußert weiter	veräußern weiter	veräußert weiter	veräußern weiter	veräußerte weiter	veräußertest weiter	veräußerte weiter	veräußerten weiter	veräußertet weiter	veräußerten weiter	weiterveräußert	veräußere weiter	veräußert weiter
weiterwachsen	wachse weiter	wächst weiter	wächst weiter	wachsen weiter	wachst weiter	wachsen weiter	wuchs weiter	wuchsest weiter	wuchs weiter	wuchsen weiter	wuchst weiter	wuchsen weiter	weitergewachsen	wachse weiter	wachst weiter
weiterwandern	wander weiter	wanderst weiter	wandert weiter	wandern weiter	wandert weiter	wandern weiter	wanderte weiter	wandertest weiter	wanderte weiter	wanderten weiter	wandertet weiter	wanderten weiter	weitergewandert	wander weiter	wandert weiter
weiterwanken	wanke weiter	wankst weiter	wankt weiter	wanken weiter	wankt weiter	wanken weiter	wankte weiter	wanktest weiter	wankte weiter	wankten weiter	wanktet weiter	wankten weiter	weitergewankt	wank weiter	wankt weiter
weiterwaten	wate weiter	watest weiter	watet weiter	waten weiter	watet weiter	waten weiter	watete weiter	watetest weiter	watete weiter	wateten weiter	watetet weiter	wateten weiter	weitergewatet	wate weiter	watet weiter
weiterwinken	winke weiter	winkst weiter	winkt weiter	winken weiter	winkt weiter	winken weiter	winkte weiter	winktest weiter	winkte weiter	winkten weiter	winktet weiter	winkten weiter	weitergewinkt	wink weiter	winkt weiter
weiterwirken	wirke weiter	wirkst weiter	wirkt weiter	wirken weiter	wirkt weiter	wirken weiter	wirkte weiter	wirktest weiter	wirkte weiter	wirkten weiter	wirktet weiter	wirkten weiter	weitergewirkt	wirk weiter	wirkt weiter
weiterwirtschaften	wirtschafte weiter	wirtschaftest weiter	wirtschaftet weiter	wirtschaften weiter	wirtschaftet weiter	wirtschaften weiter	wirtschaftete weiter	wirtschaftetest weiter	wirtschaftete weiter	wirtschafteten weiter	wirtschaftetet weiter	wirtschafteten weiter	weitergewirtschaftet	wirtschafte weiter	wirtschaftet weiter
weiterwissen	weiß weiter	weißt weiter	weiß weiter	wissen weiter	wisst weiter	wissen weiter	wusste weiter	wusstest weiter	wusste weiter	wussten weiter	wusstet weiter	wussten weiter	weitergewusst	wisse weiter	wisst weiter
weiterwollen	will weiter	willst weiter	will weiter	wollen weiter	wollt weiter	wollen weiter	wollte weiter	wolltest weiter	wollte weiter	wollten weiter	wolltet weiter	wollten weiter	weitergewollt		
weiterwursteln	wurstle weiter	wurstelst weiter	wurstelt weiter	wursteln weiter	wurstelt weiter	wursteln weiter	wurstelte weiter	wursteltest weiter	wurstelte weiter	wurstelten weiter	wursteltet weiter	wurstelten weiter	weitergewurstelt	wurstel weiter	wurstelt weiter
weiterzahlen	zahle weiter	zahlst weiter	zahlt weiter	zahlen weiter	zahlt weiter	zahlen weiter	zahlte weiter	zahltest weiter	zahlte weiter	zahlten weiter	zahltet weiter	zahlten weiter	weitergezahlt	zahl weiter	zahlt weiter
weiterzechen	zeche weiter	zechst weiter	zecht weiter	zechen weiter	zecht weiter	zechen weiter	zechte weiter	zechtest weiter	zechte weiter	zechten weiter	zechtet weiter	zechten weiter	weitergezecht	zech weiter	zecht weiter
weiterziehen	ziehe weiter	ziehst weiter	zieht weiter	ziehen weiter	zieht weiter	ziehen weiter	zog weiter	zogst weiter	zog weiter	zogen weiter	zogt weiter	zogen weiter	weitergezogen	ziehe weiter	zieht weiter
