wort	genus	genitiv_singular	plural
A-Achse	f	A-Achse	A-Achsen
A-Auswahl	f	A-Auswahl	A-Auswahlen
A-Bombe	f	A-Bombe	A-Bomben
A-Cappella-Band	f	A-Cappella-Band	A-Cappella-Bands
A-Cappella-Chor	m	A-Cappella-Chors	A-Cappella-Chöre
A-Dur	n	A-Dur	
A-Dur-Tonleiter	f	A-Dur-Tonleiter	A-Dur-Tonleitern
A-Jugend	f	A-Jugend	A-Jugenden
A-Jugendliche	f	A-Jugendlicher	A-Jugendliche
A-Kader	m	A-Kaders	A-Kader
A-Klarinette	f	A-Klarinette	A-Klarinetten
A-Mannschaft	f	A-Mannschaft	A-Mannschaften
A-Nationalmannschaft	f	A-Nationalmannschaft	A-Nationalmannschaften
A-Probe	f	A-Probe	A-Proben
A-Saite	f	A-Saite	A-Saiten
A-Säule	f	A-Säule	A-Säulen
A-Ware	f	A-Ware	A-Waren
A-a	n	A-as	
A-cappella-Band	f	A-cappella-Band	A-cappella-Bands
A-cappella-Chor	m	A-cappella-Chors	A-cappella-Chöre
ABC	n	ABC	
ABC-Abwehr	f	ABC-Abwehr	ABC-Abwehren
ABC-Abwehrtruppe	f	ABC-Abwehrtruppe	ABC-Abwehrtruppen
ABC-Alarm	m	ABC-Alarms	ABC-Alarme
ABC-Buch	n	ABC-Buchs	ABC-Bücher
ABC-Gefahr	f	ABC-Gefahr	ABC-Gefahren
ABC-Kampfmittel			ABC-Kampfmittel
ABC-Schutzanzug	m	ABC-Schutzanzuges	ABC-Schutzanzüge
ABC-Schutzmaske	f	ABC-Schutzmaske	ABC-Schutzmasken
ABC-Schüler	m	ABC-Schülers	ABC-Schüler
ABC-Schütze	m	ABC-Schützen	ABC-Schützen
ABC-Staaten			ABC-Staaten
ABC-Tafel	f	ABC-Tafel	ABC-Tafeln
ABC-Trinker	m	ABC-Trinkers	ABC-Trinker
ABC-Waffe	f	ABC-Waffe	ABC-Waffen
ABC-Waffen			ABC-Waffen
ABM-Kraft	f	ABM-Kraft	ABM-Kräfte
ABM-Maßnahme	f	ABM-Maßnahme	ABM-Maßnahmen
ACE-Hemmer	m	ACE-Hemmers	ACE-Hemmer
ADAC	m	ADAC	
ADHS-Kind	n	ADHS-Kinds	ADHS-Kinder
ADV-Vertrag	m	ADV-Vertrages	ADV-Verträge
AHA-Formel	f	AHA-Formel	
AIDS-Konferenz	f	AIDS-Konferenz	AIDS-Konferenzen
AIDS-Krise	f	AIDS-Krise	AIDS-Krisen
AIDS-Toter	m	AIDS-Toten	AIDS-Tote
ALG-II-Leistungsbescheid	m	ALG-II-Leistungsbescheids	ALG-II-Leistungsbescheide
AMOC	f	AMOC	
ANC-Mitglied	n	ANC-Mitgliedes	ANC-Mitglieder
ANC-Politiker	m	ANC-Politikers	ANC-Politiker
AQAP	f	AQAP	
ASCII-Code	m	ASCII-Code	
ASL-Zeichen	n	ASL-Zeichens	ASL-Zeichen
AStA	m	AStA	AStA
ATF	n	ATF	
AU-Plakette	f	AU-Plakette	AU-Plaketten
AUC			AUC
Aa-Lava	f	Aa-Lava	Aa-Laven
Aachener	m	Aacheners	Aachener
Aachener Aphasie-Test	m	Aachener Aphasie-Tests	Aachener Aphasie-Tests
Aachenerin	f	Aachenerin	Aachenerinnen
Aad	f	Aad	Aaden
Aak	n	Aakes	Aake
Aake	f	Aake	Aaken
Aakerbeere	f	Aakerbeere	Aakerbeeren
Aal	m	Aals	Aale
Aalauge	n	Aalauges	Aalaugen
Aalbaum	m	Aalbaumes	Aalbäume
Aalbeere	f	Aalbeere	Aalbeeren
Aalbeerstrauch	m	Aalbeerstrauches	Aalbeersträucher
Aalbestand	m	Aalbestandes	Aalbestände
Aalbricke	f	Aalbricke	Aalbricken
Aalbutt	m	Aalbuttes	Aalbutte
Aaldorsch	m	Aaldorsches	Aaldorsche
Aaleidechse	f	Aaleidechse	Aaleidechsen
Aaleisen	n	Aaleisens	Aaleisen
Aalen	n	Aalens	
Aalener	m	Aaleners	Aalener
Aalenerin	f	Aalenerin	Aalenerinnen
Aalenium	n	Aaleniums	
Aalfang	m	Aalfangs	Aalfänge
Aalfett	n	Aalfetts	Aalfette
Aalfisch	m	Aalfisches	Aalfische
Aalfischer	m	Aalfischers	Aalfischer
Aalfischerei	f	Aalfischerei	Aalfischereien
Aalfischerin	f	Aalfischerin	Aalfischerinnen
Aalfrau	f	Aalfrau	Aalfrauen
Aalgabel	f	Aalgabel	Aalgabeln
Aalhamen	m	Aalhamens	Aalhamen
Aalhaut	f	Aalhaut	Aalhäute
Aalkasten	m	Aalkastens	Aalkästen
Aalkorb	m	Aalkorbes	Aalkörbe
Aalkrähe	f	Aalkrähe	Aalkrähen
Aalleiter	f	Aalleiter	Aalleitern
Aalmolch	m	Aalmolches	Aalmolche
Aalmutter	f	Aalmutter	Aalmuttern
Aalmöwe	f	Aalmöwe	Aalmöwen
Aalnetz	n	Aalnetzes	Aalnetze
Aalpuppe	f	Aalpuppe	Aalpuppen
Aalquappe	f	Aalquappe	Aalquappen
Aalraupe	f	Aalraupe	Aalraupen
Aalreuse	f	Aalreuse	Aalreusen
Aalrute	f	Aalrute	Aalruten
Aalrutte	f	Aalrutte	Aalrutten
Aalräucherei	f	Aalräucherei	Aalräuchereien
Aalschlange	f	Aalschlange	Aalschlangen
Aalschnur	f	Aalschnur	Aalschnüre
Aalspeer	m	Aalspeeres	Aalspeere
Aalstechen	n	Aalstechens	Aalstechen
Aalstreif	m	Aalstreifes	Aalstreife
Aalstreifen	m	Aalstreifens	Aalstreifen
Aalstrich	m	Aalstriches	Aalstriche
Aalsuppe	f	Aalsuppe	Aalsuppen
Aaltierchen	n	Aaltierchens	Aaltierchen
Aaltreppe	f	Aaltreppe	Aaltreppen
Aalwanderung	f	Aalwanderung	Aalwanderungen
Aalwehr	n	Aalwehres	Aalwehre
Aalwels	m	Aalwelses	Aalwelse
Aap	m	Aaps	Aapen
Aar	m	Aares	Aare
Aarestadt	f	Aarestadt	Aarestädte
Aargauer	m	Aargauers	Aargauer
Aargauerin	f	Aargauerin	Aargauerinnen
Aari	n	des Aari	
Aarskog-Syndrom	n	Aarskog-Syndroms	
Aarweihe		Aarweihe	Aarweihen
Aas	n	Aases	Aase
Aasbande	f	Aasbande	Aasbanden
Aasblatter	f	Aasblatter	Aasblattern
Aasblume	f	Aasblume	Aasblumen
Aase-Syndrom	n	Aase-Syndroms	
Aaser	m	Aasers	Aaser
Aasfliege	f	Aasfliege	Aasfliegen
Aasfraß	m	Aasfraßes	Aasfraße
Aasfresser	m	Aasfressers	Aasfresser
Aasgeier	m	Aasgeiers	Aasgeier
Aasgeld	n	Aasgeldes	Aasgelder
Aasgeruch	m	Aasgeruches	Aasgerüche
Aasgestank	m	Aasgestanks	
Aasinsekt	n	Aasinsektes	Aasinsekten
Aasjagd	f	Aasjagd	Aasjagden
Aasjäger	m	Aasjägers	Aasjäger
Aasjägerei	f	Aasjägerei	
Aaskrähe	f	Aaskrähe	Aaskrähen
Aaskäfer	m	Aaskäfers	Aaskäfer
Aaspocke	f	Aaspocke	Aaspocken
Aasseite	f	Aasseite	Aasseiten
Aast	n	Aastes	Äster
Aasvogel	m	Aasvogels	Aasvögel
Ab-esse-ad-posse-Prinzip	n	Ab-esse-ad-posse-Prinzips	
Aba		Aba	Abas
Abaca	m	Abaca	
Abachi	n	Abachis	
Abade	m	Abade	Abades
Abadie-Zeichen	n	Abadie-Zeichens	Abadie-Zeichen
Abaisse	f	Abaisse	Abaissen
Abaka	m	Abaka	
Abakus	m	Abakus	Abakusse
Abalienation	f	Abalienation	Abalienationen
Abalone	f	Abalone	Abalonen
Abandon	m	Abandons	Abandons
Abandonnement	n	Abandonnements	Abandonnements
Abarbeitung	f	Abarbeitung	
Abarbeitungsgeschwindigkeit	f	Abarbeitungsgeschwindigkeit	Abarbeitungsgeschwindigkeiten
Abart	f	Abart	Abarten
Abartiger	m	Abartigen	Abartige
Abartigkeit	f	Abartigkeit	Abartigkeiten
Abartung	f	Abartung	Abartungen
Abasa	n	des Abasa	
Abasie	f	Abasie	Abasien
Abasinisch	n	(des) Abasinisch	
Abate	m	Abate	Abati
Abatis		Abatis	
Abatjour	m	Abatjours	Abatjours
Abaton	n	Abatons	Abata
Abaya	f	Abaya	Abayas
Abbadon	m	Abbadons	
Abbaggerung	f	Abbaggerung	Abbaggerungen
Abbaside	m	Abbasiden	Abbasiden
Abbate	m	Abbate	Abbaten
Abbau	m	Abbaus	Abbaue
Abbauantrag	m	Abbauantrages	Abbauanträge
Abbauarbeit	f	Abbauarbeit	Abbauarbeiten
Abbaubarkeit	f	Abbaubarkeit	
Abbaubereich	m	Abbaubereichs	Abbaubereiche
Abbaubetrieb	m	Abbaubetriebs	Abbaubetriebe
Abbauerscheinung	f	Abbauerscheinung	Abbauerscheinungen
Abbaufeld	n	Abbaufeldes	Abbaufelder
Abbaufläche	f	Abbaufläche	Abbauflächen
Abbauförderung	f	Abbauförderung	Abbauförderungen
Abbaugebiet	n	Abbaugebietes	Abbaugebiete
Abbaugerechtigkeit	f	Abbaugerechtigkeit	Abbaugerechtigkeiten
Abbaugerät	n	Abbaugerätes	Abbaugeräte
Abbauhammer	m	Abbauhammers	Abbauhämmer
Abbauintoxikation	f	Abbauintoxikation	Abbauintoxikationen
Abbaukrankheit	f	Abbaukrankheit	Abbaukrankheiten
Abbauland	n	Abbaulands	Abbauländer
Abbaumaßnahme	f	Abbaumaßnahme	Abbaumaßnahmen
Abbaumenge	f	Abbaumenge	Abbaumengen
Abbaumethode	f	Abbaumethode	Abbaumethoden
Abbauort	n	Abbauorts	Abbauörter
Abbaupfeiler	m	Abbaupfeilers	Abbaupfeiler
Abbauplan	m	Abbauplanes	Abbaupläne
Abbauprodukt	n	Abbauproduktes	Abbauprodukte
Abbauprozess	m	Abbauprozesses	Abbauprozesse
Abbaurecht	n	Abbaurechtes	Abbaurechte
Abbausohle	f	Abbausohle	Abbausohlen
Abbaustelle	f	Abbaustelle	Abbaustellen
Abbaustoß	m	Abbaustoßes	Abbaustöße
Abbaustrecke	f	Abbaustrecke	Abbaustrecken
Abbaustätte	f	Abbaustätte	Abbaustätten
Abbausystem	n	Abbausystems	Abbausysteme
Abbauverfahren	n	Abbauverfahrens	Abbauverfahren
Abbauverlust	m	Abbauverlustes	Abbauverluste
Abbauvermögen	n	Abbauvermögens	
Abbauvorgang	m	Abbauvorgangs	Abbauvorgänge
Abbauwürdigkeit	f	Abbauwürdigkeit	
Abbauzeit	f	Abbauzeit	Abbauzeiten
Abbedingung	f	Abbedingung	Abbedingungen
Abbeizer	m	Abbeizers	Abbeizer
Abbeizmittel	n	Abbeizmittels	Abbeizmittel
Abbelkrotze	m	von dem Abbelkrotze	Abbelkrotze
Abberstung	f	Abberstung	Abberstungen
Abberufung	f	Abberufung	Abberufungen
Abberufungsantrag	m	Abberufungsantrags	Abberufungsanträge
Abbestellung	f	Abbestellung	Abbestellungen
Abbevillien	n	Abbevilliens	
Abbezahlung	f	Abbezahlung	Abbezahlungen
Abbiegeassistent	m	Abbiegeassistenten	Abbiegeassistenten
Abbiegeassistenzsystem	n	Abbiegeassistenzsystems	Abbiegeassistenzsysteme
Abbiegefahrbahn	f	Abbiegefahrbahn	Abbiegefahrbahnen
Abbiegefahrstreifen	m	Abbiegefahrstreifens	Abbiegefahrstreifen
Abbiegefehler	m	Abbiegefehlers	Abbiegefehler
Abbiegegebot	n	Abbiegegebotes	Abbiegegebote
Abbiegehilfe	f	Abbiegehilfe	Abbiegehilfen
Abbiegehinweis	m	Abbiegehinweises	Abbiegehinweise
Abbiegelicht	n	Abbiegelichts	Abbiegelichter
Abbiegemanöver	n	Abbiegemanövers	Abbiegemanöver
Abbiegemöglichkeit	f	Abbiegemöglichkeit	Abbiegemöglichkeiten
Abbiegen	n	Abbiegens	
Abbiegepfeil	m	Abbiegepfeiles	Abbiegepfeile
Abbieger	m	Abbiegers	Abbieger
Abbiegerin	f	Abbiegerin	Abbiegerinnen
Abbiegesituation	f	Abbiegesituation	Abbiegesituationen
Abbiegespur	f	Abbiegespur	Abbiegespuren
Abbiegestreifen	m	Abbiegestreifens	Abbiegestreifen
Abbiegeunfall	m	Abbiegeunfalls	Abbiegeunfälle
Abbiegeverbot	n	Abbiegeverbotes	Abbiegeverbote
Abbiegeverhalten	n	Abbiegeverhaltens	
Abbiegeverkehr	m	Abbiegeverkehres	Abbiegeverkehre
Abbiegevorgang	m	Abbiegevorganges	Abbiegevorgänge
Abbiegung	f	Abbiegung	Abbiegungen
Abbild	n	Abbilds	Abbilder
Abbildbarkeit	f	Abbildbarkeit	
Abbilden	n	Abbildens	
Abbildhaftigkeit	f	Abbildhaftigkeit	Abbildhaftigkeiten
Abbildlichkeit	f	Abbildlichkeit	Abbildlichkeiten
Abbildtheorie	f	Abbildtheorie	Abbildtheorien
Abbildung	f	Abbildung	Abbildungen
Abbildungsfehler	m	Abbildungsfehlers	Abbildungsfehler
Abbildungsfreiheit	f	Abbildungsfreiheit	
Abbildungsleistung	f	Abbildungsleistung	Abbildungsleistungen
Abbildungsmaßstab	m	Abbildungsmaßstabs	Abbildungsmaßstäbe
Abbildungsnachweis	m	Abbildungsnachweises	Abbildungsnachweise
Abbildungsqualität	f	Abbildungsqualität	Abbildungsqualitäten
Abbildungsteil	m	Abbildungsteiles	Abbildungsteile
Abbildungsverzeichnis	n	Abbildungsverzeichnisses	Abbildungsverzeichnisse
Abbildungsvorschrift	f	Abbildungsvorschrift	Abbildungsvorschriften
Abbindung	f	Abbindung	Abbindungen
Abbiss	m	Abbisses	Abbisse
Abbitte	f	Abbitte	Abbitten
Abblasedruck	m	Abblasedruckes	Abblasedrücke
Abblasehahn	m	Abblasehahns	Abblasehähne
Abblaserohr	n	Abblaserohrs	Abblaserohre
Abblaseventil	n	Abblaseventils	Abblaseventile
Abblasung	f	Abblasung	Abblasungen
Abblasventil	n	Abblasventils	Abblasventile
Abblendautomatik	f	Abblendautomatik	
Abblende	f	Abblende	Abblenden
Abblendlicht	n	Abblendlichts	Abblendlichter
Abblendschalter	m	Abblendschalters	Abblendschalter
Abblendung	f	Abblendung	Abblendungen
Abblätterung	f	Abblätterung	Abblätterungen
Abbozzo	m	Abbozzos	Abbozzi
Abbrand	m	Abbrands	Abbrände
Abbrandler	m	Abbrandlers	Abbrandler
Abbrecher	m	Abbrechers	Abbrecher
Abbrecherin	f	Abbrecherin	Abbrecherinnen
Abbrecherquote	f	Abbrecherquote	Abbrecherquoten
Abbremsung	f	Abbremsung	Abbremsungen
Abbrennen	n	Abbrennens	
Abbreviation	f	Abbreviation	Abbreviationen
Abbreviator	m	Abbreviators	Abbreviatoren
Abbreviatur	f	Abbreviatur	Abbreviaturen
Abbreviatursprache	f	Abbreviatursprache	Abbreviatursprachen
Abbringung	f	Abbringung	Abbringungen
Abbruch	m	Abbruchs	Abbrüche
Abbruchantrag	m	Abbruchantrages	Abbruchanträge
Abbrucharbeit	f	Abbrucharbeit	Abbrucharbeiten
Abbrucharbeiter	m	Abbrucharbeiters	Abbrucharbeiter
Abbrucharbeiterin	f	Abbrucharbeiterin	Abbrucharbeiterinnen
Abbruchbagger	m	Abbruchbaggers	Abbruchbagger
Abbruchbedingung	f	Abbruchbedingung	Abbruchbedingungen
Abbruchbescheid	m	Abbruchbescheides	Abbruchbescheide
Abbruchbirne	f	Abbruchbirne	Abbruchbirnen
Abbruchblutung	f	Abbruchblutung	Abbruchblutungen
Abbruchfirma	f	Abbruchfirma	Abbruchfirmen
Abbruchgenehmigung	f	Abbruchgenehmigung	Abbruchgenehmigungen
Abbruchhammer	m	Abbruchhammers	Abbruchhämmer
Abbruchhaus	n	Abbruchhauses	Abbruchhäuser
Abbruchholz	n	Abbruchholzes	Abbruchhölzer
Abbruchjäger	m	Abbruchjägers	Abbruchjäger
Abbruchkante	f	Abbruchkante	Abbruchkanten
Abbruchkosten			Abbruchkosten
Abbruchmaterial	n	Abbruchmaterials	Abbruchmaterialien
Abbruchmethode	f	Abbruchmethode	Abbruchmethoden
Abbruchobjekt	n	Abbruchobjektes	Abbruchobjekte
Abbruchquote	f	Abbruchquote	Abbruchquoten
Abbruchreaktion	f	Abbruchreaktion	Abbruchreaktionen
Abbruchsgenehmigung	f	Abbruchsgenehmigung	Abbruchsgenehmigungen
Abbruchsieg	m	Abbruchsieges	Abbruchsiege
Abbruchsieger	m	Abbruchsiegers	Abbruchsieger
Abbruchsiegerin	f	Abbruchsiegerin	Abbruchsiegerinnen
Abbruchstein	m	Abbruchsteins	Abbruchsteine
Abbruchstelle	f	Abbruchstelle	Abbruchstellen
Abbruchstimmung	f	Abbruchstimmung	Abbruchstimmungen
Abbruchunternehmen	n	Abbruchunternehmens	Abbruchunternehmen
Abbruchunternehmer	m	Abbruchunternehmers	Abbruchunternehmer
Abbrändler	m	Abbrändlers	Abbrändler
Abbröckelung	f	Abbröckelung	Abbröckelungen
Abbröcklung	f	Abbröcklung	Abbröcklungen
Abbuchung	f	Abbuchung	Abbuchungen
Abbuchungsauftrag	m	Abbuchungsauftrages	Abbuchungsaufträge
Abbund	m	Abbundes	
Abbé	m	Abbés	Abbés
Abböschung	f	Abböschung	Abböschungen
Abbügler	m	Abbüglers	Abbügler
Abbüßung	f	Abbüßung	Abbüßungen
Abc	n	Abc	Abc
Abc-Buch	n	Abc-Buchs	Abc-Bücher
Abc-Code	m	Abc-Codes	
Abc-Kode	m	Abc-Kodes	
Abc-Schüler	m	Abc-Schülers	Abc-Schüler
Abc-Schütze	m	Abc-Schützen	Abc-Schützen
Abc-Schützin	f	Abc-Schützin	Abc-Schützinnen
Abcdarier	m	Abcdariers	Abcdarier
Abcdarium	n	Abcdariums	Abcdarien
Abcdarius	m	Abcdarius	Abcdarii
Abchase	m	Abchasen	Abchasen
Abchasier	m	Abchasiers	Abchasier
Abchasin	f	Abchasin	Abchasinnen
Abchasisch	n	(des) Abchasisch	
Abciximab	n	Abciximabs	
Abdach	n	Abdachs	Abdächer
Abdachung	f	Abdachung	Abdachungen
Abdampf	m	Abdampfs	Abdämpfe
Abdampfapparat	m	Abdampfapparates	Abdampfapparate
Abdampfaustritt	m	Abdampfaustrittes	Abdampfaustritte
Abdampfen	n	Abdampfens	
Abdampfentöler	m	Abdampfentölers	Abdampfentöler
Abdampfheizung	f	Abdampfheizung	Abdampfheizungen
Abdampfkessel	m	Abdampfkessels	Abdampfkessel
Abdampfleitung	f	Abdampfleitung	Abdampfleitungen
Abdampfrohr	n	Abdampfrohrs	Abdampfrohre
Abdampfrückstand	m	Abdampfrückstands	Abdampfrückstände
Abdampfschale	f	Abdampfschale	Abdampfschalen
Abdampfturbine	f	Abdampfturbine	Abdampfturbinen
Abdampfung	f	Abdampfung	Abdampfungen
Abdampfverwertung	f	Abdampfverwertung	Abdampfverwertungen
Abdampfvorwärmer	m	Abdampfvorwärmers	Abdampfvorwärmer
Abdampfwärme	f	Abdampfwärme	
Abdankung	f	Abdankung	Abdankungen
Abdankungsfeier	f	Abdankungsfeier	Abdankungsfeiern
Abdankungsgottesdienst	m	Abdankungsgottesdienstes	Abdankungsgottesdienste
Abdankungshalle	f	Abdankungshalle	Abdankungshallen
Abdankungsurkunde	f	Abdankungsurkunde	Abdankungsurkunden
Abdarbung	f	Abdarbung	
Abdasseler	m	Abdasselers	Abdasseler
Abdasselung	f	Abdasselung	Abdasselungen
Abdassler	m	Abdasslers	Abdassler
Abdasslung	f	Abdasslung	Abdasslungen
Abdeck-Aufdecktest	m	Abdeck-Aufdecktests	Abdeck-Aufdecktests
Abdeckband	n	Abdeckbands	Abdeckbänder
Abdeckblech	n	Abdeckblechs	Abdeckbleche
Abdeckcreme	f	Abdeckcreme	Abdeckcremes
Abdecker	m	Abdeckers	Abdecker
Abdeckerei	f	Abdeckerei	Abdeckereien
Abdeckerin	f	Abdeckerin	Abdeckerinnen
Abdeckfarbe	f	Abdeckfarbe	Abdeckfarben
Abdeckfolie	f	Abdeckfolie	Abdeckfolien
Abdeckmaterial	n	Abdeckmaterials	Abdeckmaterialien
Abdeckmittel	n	Abdeckmittels	Abdeckmittel
Abdeckplane	f	Abdeckplane	Abdeckplanen
Abdeckplatte	f	Abdeckplatte	Abdeckplatten
Abdeckstift	m	Abdeckstifts	Abdeckstifte
Abdecktest	m	Abdecktests	Abdecktests
Abdeckung	f	Abdeckung	Abdeckungen
Abdeckvlies	n	Abdeckvlieses	Abdeckvliese
Abderit	m	Abderiten	Abderiten
Abdestillation	f	Abdestillation	Abdestillationen
Abdichtung	f	Abdichtung	Abdichtungen
Abdichtungsarbeit	f	Abdichtungsarbeit	Abdichtungsarbeiten
Abdichtungsmaterial	n	Abdichtungsmaterials	Abdichtungsmaterialien
Abdikation	f	Abdikation	Abdikationen
Abdingbarkeit	f	Abdingbarkeit	
Abdisposition	f	Abdisposition	Abdispositionen
Abditorium	n	Abditoriums	Abditorien
Abdomen	n	Abdomens	Abdomen
Abdominalgravidität	f	Abdominalgravidität	Abdominalgraviditäten
Abdominalhernie	f	Abdominalhernie	Abdominalhernien
Abdominalschwangerschaft	f	Abdominalschwangerschaft	Abdominalschwangerschaften
Abdominoskopie	f	Abdominoskopie	Abdominoskopien
Abdrehen	n	Abdrehens	
Abdrift	f	Abdrift	Abdriften
Abdrosselung	f	Abdrosselung	Abdrosselungen
Abdrosslung	f	Abdrosslung	Abdrosslungen
Abdruck	m	Abdrucks	Abdrücke
Abdruckgenehmigung	f	Abdruckgenehmigung	Abdruckgenehmigungen
Abdrusch	m	Abdruschs	
Abdrängung	f	Abdrängung	Abdrängungen
Abdschad	n	Abdschads	Abdschads
Abducens	m	Abducens	
Abduktion	f	Abduktion	Abduktionen
Abduktor	m	Abduktors	Abduktoren
Abdunkelung	f	Abdunkelung	Abdunkelungen
Abdunklung	f	Abdunklung	Abdunklungen
Abduzens	m	Abduzens	
Abduzenslähmung	f	Abduzenslähmung	Abduzenslähmungen
Abdämmung	f	Abdämmung	Abdämmungen
Abdämpfung	f	Abdämpfung	Abdämpfungen
Abece	n	Abeces	
Abecebuch	n	Abecebuches	Abecebücher
Abecedarier	m	Abecedariers	Abecedarier
Abecedarium	n	Abecedariums	Abecedarien
Abecedarius	m	Abecedarius	Abecedarii
Abee		Abees	Abees
Abelespiele			Abelespiele
Abelia	f		
Abelie	f	Abelie	Abelien
Abelmoschus	m	Abelmoschus	Abelmoschusse
Abenaki	m	Abenakis	Abenakis
Abend	m	Abends	Abende
Abend-Make-up	n	Abend-Make-ups	Abend-Make-ups
Abendakademie	f	Abendakademie	Abendakademien
Abendandacht	f	Abendandacht	Abendandachten
Abendanfrage	f	Abendanfrage	Abendanfragen
Abendanzug	m	Abendanzugs	Abendanzüge
Abendappell	m	Abendappells	Abendappelle
Abendarbeit	f	Abendarbeit	Abendarbeiten
Abendaufführung	f	Abendaufführung	Abendaufführungen
Abendauktion	f	Abendauktion	Abendauktionen
Abendausgabe	f	Abendausgabe	Abendausgaben
Abendbalz	f	Abendbalz	
Abendbeleuchtung	f	Abendbeleuchtung	Abendbeleuchtungen
Abendblatt	n	Abendblatts	Abendblätter
Abendbrise	f	Abendbrise	Abendbrisen
Abendbrot	n	Abendbrots	Abendbrote
Abendbrotbesteck	n	Abendbrotbestecks	Abendbrotbestecke
Abendbrotszeit	f	Abendbrotszeit	Abendbrotszeiten
Abendbrottisch	m	Abendbrottisches	Abendbrottische
Abendbrotzeit	f	Abendbrotzeit	Abendbrotzeiten
Abendbummel	m	Abendbummels	Abendbummel
Abendbus	m	Abendbusses	Abendbusse
Abenddienst	m	Abenddienstes	Abenddienste
Abenddunkel	n	Abenddunkels	
Abenddämmer	m	Abenddämmers	
Abenddämmern	n	Abenddämmerns	
Abenddämmerung	f	Abenddämmerung	Abenddämmerungen
Abendeinkauf	m	Abendeinkaufes	Abendeinkäufe
Abendeinladung	f	Abendeinladung	Abendeinladungen
Abendeinnahme	f	Abendeinnahme	Abendeinnahmen
Abendempfang	m	Abendempfangs	Abendempfänge
Abendessen	n	Abendessens	Abendessen
Abendessenszeit	f	Abendessenszeit	Abendessenszeiten
Abendfachschule	f	Abendfachschule	Abendfachschulen
Abendfahrt	f	Abendfahrt	Abendfahrten
Abendfalter	m	Abendfalters	Abendfalter
Abendfilm	m	Abendfilmes	Abendfilme
Abendforum	n	Abendforums	Abendforen
Abendfriede	m	Abendfriedens	
Abendfrieden	m	Abendfriedens	
Abendfrisur	f	Abendfrisur	Abendfrisuren
Abendfüller	m	Abendfüllers	Abendfüller
Abendgage	f	Abendgage	Abendgagen
Abendgang	m	Abendgangs	Abendgänge
Abendgarderobe	f	Abendgarderobe	Abendgarderoben
Abendgast	m	Abendgasts	Abendgäste
Abendgazette	f	Abendgazette	Abendgazetten
Abendgebet	n	Abendgebetes	Abendgebete
Abendgeläut	n	Abendgeläuts	Abendgeläute
Abendgeläute	n	Abendgeläutes	
Abendgeselligkeit	f	Abendgeselligkeit	Abendgeselligkeiten
Abendgesellschaft	f	Abendgesellschaft	Abendgesellschaften
Abendgespräch	n	Abendgespräches	Abendgespräche
Abendgestaltung	f	Abendgestaltung	Abendgestaltungen
Abendglanz	m	Abendglanzes	
Abendglocke	f	Abendglocke	Abendglocken
Abendglut	f	Abendglut	Abendgluten
Abendgold	n	Abendgolds	
Abendgottesdienst	m	Abendgottesdienstes	Abendgottesdienste
Abendgruß	m	Abendgrußes	Abendgrüße
Abendgymnasium	n	Abendgymnasiums	Abendgymnasien
Abendhauch	m	Abendhauchs	
Abendhauptschule	f	Abendhauptschule	Abendhauptschulen
Abendherr	m	Abendherrn	Abendherren
Abendhimmel	m	Abendhimmels	Abendhimmel
Abendhitze	f	Abendhitze	
Abendhochschule	f	Abendhochschule	Abendhochschulen
Abendimbiss	m	Abendimbisses	Abendimbisse
Abendjournal	n	Abendjournals	Abendjournale
Abendkarte	f	Abendkarte	Abendkarten
Abendkasse	f	Abendkasse	Abendkassen
Abendkleid	n	Abendkleides	Abendkleider
Abendkleidung	f	Abendkleidung	Abendkleidungen
Abendkonzert	n	Abendkonzerts	Abendkonzerte
Abendkost	f	Abendkost	
Abendkurs	m	Abendkurses	Abendkurse
Abendkursus	m	Abendkursus	Abendkurse
Abendkühle	f	Abendkühle	
Abendland	n	Abendlands	Abendländer
Abendlandschaft	f	Abendlandschaft	Abendlandschaften
Abendlauf	m	Abendlaufes	Abendläufe
Abendlehrgang	m	Abendlehrgangs	Abendlehrgänge
Abendlektüre	f	Abendlektüre	Abendlektüren
Abendlicht	n	Abendlichts	
Abendlied	n	Abendliedes	Abendlieder
Abendluft	f	Abendluft	
Abendländer	m	Abendländers	Abendländer
Abendländerin	f	Abendländerin	Abendländerinnen
Abendläuten	n	Abendläutens	
Abendlüftchen	n	Abendlüftchens	Abendlüftchen
Abendmagazin	n	Abendmagazins	Abendmagazine
Abendmahl	n	Abendmahles	Abendmähler
Abendmahlfeier	f	Abendmahlfeier	Abendmahlfeiern
Abendmahlgast	m	Abendmahlgasts	Abendmahlgäste
Abendmahlgemeinschaft	f	Abendmahlgemeinschaft	Abendmahlgemeinschaften
Abendmahlgerät	n	Abendmahlgeräts	Abendmahlgeräte
Abendmahlgottesdienst	m	Abendmahlgottesdiensts	Abendmahlgottesdienste
Abendmahlkelch	m	Abendmahlkelchs	Abendmahlkelche
Abendmahlsbrot	n	Abendmahlsbrots	Abendmahlsbrote
Abendmahlsfeier	f	Abendmahlsfeier	Abendmahlsfeiern
Abendmahlsgemeinschaft	f	Abendmahlsgemeinschaft	Abendmahlsgemeinschaften
Abendmahlslied	n	Abendmahlslieds	Abendmahlslieder
Abendmahlsspiel	n	Abendmahlsspiels	Abendmahlsspiele
Abendmahlsstreit	m	Abendmahlsstreits	
