# Finnish sentence-boundary abbreviations (D-434, §6) - a period after one of these does not by itself mark
# a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period included,
# one per line, matching Abbreviations.parse()'s own format.
esim.
ts.
jne.
mm.
n.
s.
vrt.
prof.
yms.
pvm.
huom.
ks.
ym.
tms.
mrd.
