# Hungarian sentence-boundary abbreviations (D-450, §6) - a period after one of these does not by itself
# mark a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period
# included, one per line, matching Abbreviations.parse()'s own format.
pl.
ill.
stb.
kb.
vö.
dr.
prof.
ún.
min.
max.
köv.
kül.
ti.
sz.
old.
évf.
