# Hungarian diacritic-fold table (D-450) - base letter -> every real accented variant, so a token typed
# without its diacritic still reaches the correctly-spelled word. hints.tsv (same folder) picks one
# representative symbol per key for the AltGr long-press hint; this file keeps the complete set per base
# letter - o and u each host three real, distinct Hungarian letters (ó/ö/ő and ú/ü/ű respectively - the
# double-acute ő/ű are genuinely unique to Hungarian among Latin-alphabet languages, not alternate spellings).
a	á
e	é
i	í
o	ó,ö,ő
u	ú,ü,ű
