# Spanish sentence-boundary abbreviations (D-434, §6) - a period after one of these does not by itself
# mark a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period
# included, one per line, matching Abbreviations.parse()'s own format.
sr.
sra.
srta.
dr.
dra.
prof.
ud.
uds.
pág.
págs.
núm.
art.
cap.
vol.
ej.
aprox.
tel.
dpto.
depto.
av.
avda.
cta.
ltda.
etc.
a.c.
d.c.
