# Russian sentence-boundary abbreviations (D-450-followup, §6) - a period after one of these does not by
# itself mark a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period
# included, one per line, matching Abbreviations.parse()'s own format.
т.е.
т.д.
т.п.
т.к.
др.
проф.
акад.
им.
гл.
стр.
см.
напр.
г.
гг.
в.
вв.
руб.
коп.
обл.
ул.
д.
изд.
ред.
рис.
табл.
прим.
