# Romanian diacritic-fold table (D-450) - base letter -> every real accented variant, so a token typed
# without its diacritic still reaches the correctly-spelled word. hints.tsv (same folder) picks one
# representative symbol per key for the AltGr long-press hint; this file keeps the complete set per base
# letter - a hosts two real, distinct Romanian letters (ă and â, not alternate spellings of each other).
# Uses the modern comma-below ș/ț (U+0219/U+021B), confirmed as this project's own Wiktionary source's
# standard (see extract_wiktionary.py's own module docstring).
a	ă,â
i	î
s	ș
t	ț
