# Czech sentence-boundary abbreviations (D-450, §6) - a period after one of these does not by itself mark
# a sentence end, so §6's auto-capitalisation does not fire right after it. Lower-cased, period included,
# one per line, matching Abbreviations.parse()'s own format.
např.
tj.
tzv.
atd.
apod.
resp.
mj.
tzn.
č.
str.
odst.
sv.
mgr.
dr.
prof.
ing.
atp.
event.
cca.
stol.
zejm.
popř.
vč.
